
2025/01/10 (12:21:20) | ===> btop++ v.1.4.0
2025/01/10 (12:21:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (12:21:51) | ===> btop++ v.1.4.0
2025/01/10 (12:21:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (12:37:35) | ===> btop++ v.1.4.0
2025/01/10 (12:37:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (14:19:44) | ===> btop++ v.1.4.0
2025/01/10 (14:19:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (16:02:43) | ===> btop++ v.1.4.0
2025/01/10 (16:02:43) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/10 (16:03:22) | ===> btop++ v.1.4.0
2025/01/10 (16:03:22) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (11:09:30) | ===> btop++ v.1.4.0
2025/01/16 (11:09:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (11:09:59) | ===> btop++ v.1.4.0
2025/01/16 (11:09:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/16 (11:46:13) | ===> btop++ v.1.4.0
2025/01/16 (11:46:13) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (11:33:39) | ===> btop++ v.1.4.0
2025/01/17 (11:33:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:17:01) | ===> btop++ v.1.4.0
2025/01/17 (15:17:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:17:48) | ===> btop++ v.1.4.0
2025/01/17 (15:17:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:18:48) | ===> btop++ v.1.4.0
2025/01/17 (15:18:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:19:35) | ===> btop++ v.1.4.0
2025/01/17 (15:19:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:20:20) | ===> btop++ v.1.4.0
2025/01/17 (15:20:20) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:23:53) | ===> btop++ v.1.4.0
2025/01/17 (15:23:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:24:31) | ===> btop++ v.1.4.0
2025/01/17 (15:24:31) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:27:07) | ===> btop++ v.1.4.0
2025/01/17 (15:27:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/17 (15:27:38) | ===> btop++ v.1.4.0
2025/01/17 (15:27:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (16:16:37) | ===> btop++ v.1.4.0
2025/01/21 (16:16:37) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (17:06:30) | ===> btop++ v.1.4.0
2025/01/21 (17:06:30) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/21 (17:10:35) | ===> btop++ v.1.4.0
2025/01/21 (17:10:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (17:20:48) | ===> btop++ v.1.4.0
2025/01/22 (17:20:48) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:17:16) | ===> btop++ v.1.4.0
2025/01/22 (18:17:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:27:28) | ===> btop++ v.1.4.0
2025/01/22 (18:27:28) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:27:47) | ===> btop++ v.1.4.0
2025/01/22 (18:27:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:28:01) | ===> btop++ v.1.4.0
2025/01/22 (18:28:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:28:07) | ===> btop++ v.1.4.0
2025/01/22 (18:28:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:28:15) | ===> btop++ v.1.4.0
2025/01/22 (18:28:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:35:11) | ===> btop++ v.1.4.0
2025/01/22 (18:35:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:35:19) | ===> btop++ v.1.4.0
2025/01/22 (18:35:19) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/22 (18:37:42) | ===> btop++ v.1.4.0
2025/01/22 (18:37:42) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/23 (15:03:52) | ===> btop++ v.1.4.0
2025/01/23 (15:03:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (17:42:18) | ===> btop++ v.1.4.0
2025/01/24 (17:42:18) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/24 (17:42:56) | ===> btop++ v.1.4.0
2025/01/24 (17:42:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (14:47:52) | ===> btop++ v.1.4.0
2025/01/26 (14:47:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (14:54:04) | ===> btop++ v.1.4.0
2025/01/26 (14:54:04) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/26 (14:54:55) | ===> btop++ v.1.4.0
2025/01/26 (14:54:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/01/27 (12:35:46) | ===> btop++ v.1.4.0
2025/01/27 (12:35:46) | ERROR: No tty detected!
btop++ needs an interactive shell to run.

2025/01/27 (12:35:49) | ===> btop++ v.1.4.0
2025/01/27 (12:35:49) | WARNING: Intel GPU: Failed to initialize PMU
